ts_ssl,uid,id.orig_h_ssl,id.orig_p_ssl,id.resp_h_ssl,id.resp_p_ssl,version,cipher,curve,server_name,resumed,next_protocol,established,ssl_history,cert_chain_fps,client_cert_chain_fps,sni_matches_cert,ja3,ja3s,ts_conn,id.orig_h_conn,id.orig_p_conn,id.resp_h_conn,id.resp_p_conn,proto,duration,orig_bytes,resp_bytes,conn_state,local_orig,local_resp,missed_bytes,history,orig_pkts,orig_ip_bytes,resp_pkts,resp_ip_bytes,service
1743000674.046791,C2Kr4U1N9VokKy5dSj,10.3.26.44,49774,52.167.249.196,443,TLSv12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,secp384r1,settings-win.data.microsoft.com,False,h2,True,CsxknGIi,"['028f17a65bf70cfcb18fa28d16f6b6257aecb39ba51e20c661c251b5069a1300', '83688f2aef71386e0936c4b3013b07e8e0c796d8427716dd48b2a63d79509129']",[],1.0,091f51a7a1c3a4504a224cc081ce9cee,2fe9b0e731d3d41b2b84e8e1d6186836,1743000673.958248,10.3.26.44,49774,52.167.249.196,443,tcp,0.524893999099731,717.0,4313.0,SF,True,False,0,ShADdaFRf,13,1249,12,4805,ssl
1743000674.545626,CpG7wk4BeFe6pv3cx2,10.3.26.44,49775,52.167.249.196,443,TLSv12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,secp384r1,settings-win.data.microsoft.com,False,h2,True,CsxknGIi,"['028f17a65bf70cfcb18fa28d16f6b6257aecb39ba51e20c661c251b5069a1300', '83688f2aef71386e0936c4b3013b07e8e0c796d8427716dd48b2a63d79509129']",[],1.0,091f51a7a1c3a4504a224cc081ce9cee,2fe9b0e731d3d41b2b84e8e1d6186836,1743000674.465294,10.3.26.44,49775,52.167.249.196,443,tcp,0.5675940513610841,2540.0,4306.0,SF,True,False,0,ShADdaFRf,14,3112,13,4838,ssl
1743000675.122073,CfCEQk4BvJx8zusNi,10.3.26.44,49776,52.167.249.196,443,TLSv12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,secp384r1,settings-win.data.microsoft.com,False,h2,True,CsxknGIi,"['028f17a65bf70cfcb18fa28d16f6b6257aecb39ba51e20c661c251b5069a1300', '83688f2aef71386e0936c4b3013b07e8e0c796d8427716dd48b2a63d79509129']",[],1.0,091f51a7a1c3a4504a224cc081ce9cee,2fe9b0e731d3d41b2b84e8e1d6186836,1743000675.037483,10.3.26.44,49776,52.167.249.196,443,tcp,0.6171109676361081,2998.0,4346.0,SF,True,False,0,ShADdaFfR,14,3570,13,4878,ssl
1743000675.714881,C7QbWE4H9phAvQmRFl,10.3.26.44,49777,52.167.249.196,443,TLSv12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,secp384r1,settings-win.data.microsoft.com,False,h2,True,CsxknGIi,"['028f17a65bf70cfcb18fa28d16f6b6257aecb39ba51e20c661c251b5069a1300', '83688f2aef71386e0936c4b3013b07e8e0c796d8427716dd48b2a63d79509129']",[],1.0,091f51a7a1c3a4504a224cc081ce9cee,2fe9b0e731d3d41b2b84e8e1d6186836,1743000675.634343,10.3.26.44,49777,52.167.249.196,443,tcp,0.580455064773559,730.0,4312.0,SF,True,False,0,ShADdaFfR,12,1222,11,4764,ssl
1743000676.270634,CNatfu1XjJuF8wu7ll,10.3.26.44,49778,52.167.249.196,443,TLSv12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,secp384r1,settings-win.data.microsoft.com,False,h2,True,CsxknGIi,"['028f17a65bf70cfcb18fa28d16f6b6257aecb39ba51e20c661c251b5069a1300', '83688f2aef71386e0936c4b3013b07e8e0c796d8427716dd48b2a63d79509129']",[],1.0,091f51a7a1c3a4504a224cc081ce9cee,2fe9b0e731d3d41b2b84e8e1d6186836,1743000676.189414,10.3.26.44,49778,52.167.249.196,443,tcp,0.5665378570556641,1511.0,4313.0,SF,True,False,0,ShADdFfR,12,2003,10,4725,ssl
1743000676.905834,CepdHV2Jkyg1gIsIAf,10.3.26.44,49779,52.167.249.196,443,TLSv12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,secp384r1,settings-win.data.microsoft.com,False,h2,True,CsxknGIi,"['028f17a65bf70cfcb18fa28d16f6b6257aecb39ba51e20c661c251b5069a1300', '83688f2aef71386e0936c4b3013b07e8e0c796d8427716dd48b2a63d79509129']",[],1.0,091f51a7a1c3a4504a224cc081ce9cee,2fe9b0e731d3d41b2b84e8e1d6186836,1743000676.840038,10.3.26.44,49779,52.167.249.196,443,tcp,0.49286603927612305,3580.0,6432.0,SF,True,False,0,ShADdaFf,15,4192,12,6924,ssl
1743000677.384848,Cqy2ln1qQswzgGpCNl,10.3.26.44,49780,52.167.249.196,443,TLSv12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,secp384r1,settings-win.data.microsoft.com,False,h2,True,CsxknGIi,"['028f17a65bf70cfcb18fa28d16f6b6257aecb39ba51e20c661c251b5069a1300', '83688f2aef71386e0936c4b3013b07e8e0c796d8427716dd48b2a63d79509129']",[],1.0,091f51a7a1c3a4504a224cc081ce9cee,2fe9b0e731d3d41b2b84e8e1d6186836,1743000677.301134,10.3.26.44,49780,52.167.249.196,443,tcp,0.573538780212402,1284.0,4282.0,SF,True,False,0,ShADdaFfR,13,1816,11,4734,ssl
1743000736.884993,CQH0Kg4pQoPm3WZLzf,10.3.26.44,49791,52.153.155.231,443,TLSv13,TLS_AES_256_GCM_SHA384,secp384r1,api.edgeoffer.microsoft.com,False,,True,CjiICs,nan,nan,,94d72924ada9ec402e4786ff896b7205,46ca3a127f5443353dfb8cc2e16197e5,1743000736.829544,10.3.26.44,49791,52.153.155.231,443,tcp,2.033337831497192,2856.0,6854.0,SF,True,False,0,ShADadFf,11,3308,13,7386,ssl
1743000736.935093,CLCrAi3yETzSAtkze5,10.3.26.44,49792,204.79.197.239,443,TLSv12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,secp384r1,edge.microsoft.com,False,h2,True,CsxuknGIti,"['6337a7cc987496c11150da81b5bfa35c951c77f11388c2abfa2522f9b549ea94', '511c1c41cb7eb2a10078c32c82f17925ba786de46c633921d038e7409e15a5ea']",[],1.0,01cdb0dddf41bedd45db8797268ae26b,0f14538e1c9070becdad7739c67d6363,1743000736.829544,10.3.26.44,49792,204.79.197.239,443,tcp,2.143095970153808,3024.0,8666.0,SF,True,False,0,ShADadFf,17,3716,20,9478,ssl
1743000738.885615,Cu3qsc21ost8v2V9wl,10.3.26.44,49797,150.171.27.11,443,TLSv12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,secp384r1,edge.microsoft.com,False,h2,True,CsxuknGIti,"['6337a7cc987496c11150da81b5bfa35c951c77f11388c2abfa2522f9b549ea94', '511c1c41cb7eb2a10078c32c82f17925ba786de46c633921d038e7409e15a5ea']",[],1.0,b05b841f6f489e630d47dfdc450f822b,0f14538e1c9070becdad7739c67d6363,1743000738.849491,10.3.26.44,49797,150.171.27.11,443,tcp,3.955307006835937,2585.0,6726.0,RSTO,True,False,0,ShADadR,12,3077,14,7298,ssl
