ja3_int,ja3s_int,sni_len,sni_entropy,sni_is_ip,ja3_freq,sni_freq,ja3_reuse_cnt,iat_mean,iat_std,iat_cv,iat_cnt
141459,133602,24,3.6887218755408675,False,0,0,7715,1.8374021911860012,6.647569897168087,3.617915724244081,7715
141459,182303,23,3.708132064658602,False,0,0,7715,1.8374021911860012,6.647569897168087,3.617915724244081,7715
141459,182303,29,3.8833374604210062,False,0,0,7715,1.8374021911860012,6.647569897168087,3.617915724244081,7715
141459,55092,23,3.6753108689123644,False,0,0,7715,1.8374021911860012,6.647569897168087,3.617915724244081,7715
141459,133602,35,3.8757315032041877,False,0,0,7715,1.8374021911860012,6.647569897168087,3.617915724244081,7715
141459,133602,35,3.8757315032041877,False,0,0,7715,1.8374021911860012,6.647569897168087,3.617915724244081,7715
141459,109500,12,3.2516291673878226,False,0,0,7715,1.8374021911860012,6.647569897168087,3.617915724244081,7715
141459,19419,24,3.772055208874201,False,0,0,7715,1.8374021911860012,6.647569897168087,3.617915724244081,7715
141459,55092,30,3.6892464285091577,False,0,0,7715,1.8374021911860012,6.647569897168087,3.617915724244081,7715
141459,55092,30,3.6892464285091577,False,0,0,7715,1.8374021911860012,6.647569897168087,3.617915724244081,7715
141459,19419,15,3.3232314287976203,False,0,0,7715,1.8374021911860012,6.647569897168087,3.617915724244081,7715
141459,261034,15,3.106890595608519,False,0,0,7715,1.8374021911860012,6.647569897168087,3.617915724244081,7715
141459,19419,14,2.8423709931771093,False,0,0,7715,1.8374021911860012,6.647569897168087,3.617915724244081,7715
141459,19419,14,2.8423709931771093,False,0,0,7715,1.8374021911860012,6.647569897168087,3.617915724244081,7715
141459,209340,20,3.1709505944546685,False,0,0,7715,1.8374021911860012,6.647569897168087,3.617915724244081,7715
141459,209340,20,3.1709505944546685,False,0,0,7715,1.8374021911860012,6.647569897168087,3.617915724244081,7715
141459,19419,19,3.366091329119192,False,0,0,7715,1.8374021911860012,6.647569897168087,3.617915724244081,7715
141459,182303,15,3.189898095464287,False,0,0,7715,1.8374021911860012,6.647569897168087,3.617915724244081,7715
141459,182303,14,2.8962915290459286,False,0,0,7715,1.8374021911860012,6.647569897168087,3.617915724244081,7715
141459,182303,14,2.8962915290459286,False,0,0,7715,1.8374021911860012,6.647569897168087,3.617915724244081,7715
141459,19419,27,3.726204631392457,False,0,0,7715,1.8374021911860012,6.647569897168087,3.617915724244081,7715
141459,19419,27,3.726204631392457,False,0,0,7715,1.8374021911860012,6.647569897168087,3.617915724244081,7715
