duration,orig_bytes,resp_bytes,byte_ratio,orig_pkts,resp_pkts,ja3_int,ja3s_int,tls_version_int,cipher_count,ext_count,sni_len,sni_entropy,sni_is_ip,sni_rarity,ja3_rarity,cert_cnt,label
100.40463999999996,0.0,3754.0,0.0,0.0,14.0,0,146983,4809,0,0,0,0.0,False,0.0005543237250554324,0.0007552870090634441,0,1
1.731987000000117,0.0,3496.0,0.0,0.0,10.0,0,49776,4809,0,0,0,0.0,False,0.0005543237250554324,0.0007552870090634441,0,1
1.251244999999926,0.0,7421.0,0.0,0.0,10.0,0,27187,4809,0,0,0,0.0,False,0.0005543237250554324,0.0007552870090634441,0,1
100.40694499999972,0.0,3754.0,0.0,0.0,13.0,0,146983,4809,0,0,0,0.0,False,0.0005543237250554324,0.0007552870090634441,0,1
1.338931999999658,210.0,2193.0,0.09571558796718323,6.0,5.0,133349,235222,146550,0,0,26,3.555269044648117,False,0.014285714285714285,0.0003549875754348598,0,1
1.1508860000003551,195.0,2139.0,0.0911214953271028,6.0,5.0,133349,235222,146550,0,0,11,2.663532754804255,False,0.007633587786259542,0.0003549875754348598,0,1
1.09201800000028,214.0,2200.0,0.09722853248523398,6.0,5.0,133349,235222,146550,0,0,30,3.6892464285091577,False,0.0009182736455463728,0.0003549875754348598,0,1
1.115866999999525,214.0,2200.0,0.09722853248523398,6.0,5.0,133349,235222,146550,0,0,30,3.6892464285091577,False,0.0009182736455463728,0.0003549875754348598,0,1
140.84620600000017,4085.0,58456.0,0.06988042492772466,29.0,54.0,133349,235222,146550,0,0,11,2.663532754804255,False,0.007633587786259542,0.0003549875754348598,0,1
135.4868660000002,5197.0,10729.0,0.4843429636533085,22.0,24.0,151385,235222,146550,0,0,11,2.663532754804255,False,0.007633587786259542,0.007518796992481203,0,1
195.16444599999977,5372.0,49495.0,0.1085340229513496,32.0,50.0,151385,235222,146550,0,0,11,2.663532754804255,False,0.007633587786259542,0.007518796992481203,0,1
136.45123199999944,3978.0,26542.0,0.14987002222808274,23.0,32.0,151385,235222,146550,0,0,11,2.663532754804255,False,0.007633587786259542,0.007518796992481203,0,1
193.14410700000008,4852.0,82877.0,0.05854388378097927,42.0,71.0,151385,235222,146550,0,0,11,2.663532754804255,False,0.007633587786259542,0.007518796992481203,0,1
85.9486880000004,4467.0,114043.0,0.039169092630914386,45.0,92.0,133349,235222,146550,0,0,11,2.663532754804255,False,0.007633587786259542,0.0003549875754348598,0,1
1.3731870000001432,364.0,2458.0,0.14802765351769012,7.0,6.0,133349,235222,146550,0,0,30,3.6892464285091577,False,0.0009182736455463728,0.0003549875754348598,0,1
0.805861999999251,348.0,2363.0,0.14720812182741116,7.0,6.0,133349,235222,146550,0,0,14,2.8423709931771093,False,0.009259259259259259,0.0003549875754348598,0,1
0.7300050000003461,348.0,2121.0,0.16399622997172478,7.0,6.0,133349,235222,146550,0,0,14,2.8423709931771093,False,0.009259259259259259,0.0003549875754348598,0,1
1.287457999999787,358.0,2141.0,0.16713352007469653,8.0,6.0,133349,235222,146550,0,0,24,3.6572682296173897,False,0.027777777777777776,0.0003549875754348598,0,1
1.203311000000212,354.0,2241.0,0.15789473684210525,8.0,5.0,133349,235222,146550,0,0,20,3.621928094887362,False,0.02127659574468085,0.0003549875754348598,0,1
1.214724000000387,214.0,2200.0,0.09722853248523398,7.0,5.0,133349,235222,146550,0,0,30,3.6892464285091577,False,0.0009182736455463728,0.0003549875754348598,0,1
1.779631999999765,364.0,2200.0,0.16537937301226716,8.0,5.0,133349,235222,146550,0,0,30,3.6892464285091577,False,0.0009182736455463728,0.0003549875754348598,0,1
1.162585999999464,346.0,2420.0,0.1429161503510946,7.0,6.0,133349,235222,146550,0,0,12,2.918295834054489,False,0.003355704697986577,0.0003549875754348598,0,1
1.464263000000755,348.0,2369.0,0.1468354430379747,8.0,7.0,133349,235222,146550,0,0,14,3.2359263506290334,False,0.08333333333333333,0.0003549875754348598,0,1
2.204917000000023,196.0,2748.0,0.07129865405602037,7.0,6.0,133349,235222,146550,0,0,12,2.918295834054489,False,0.003355704697986577,0.0003549875754348598,0,1
1.225244999999631,214.0,2200.0,0.09722853248523398,6.0,5.0,133349,235222,146550,0,0,30,3.6892464285091577,False,0.0009182736455463728,0.0003549875754348598,0,1
1.598829000000478,364.0,3077.0,0.11825860948667966,8.0,7.0,133349,235222,146550,0,0,30,3.6892464285091577,False,0.0009182736455463728,0.0003549875754348598,0,1
1.789891999999781,364.0,2458.0,0.14802765351769012,8.0,7.0,133349,235222,146550,0,0,30,3.6892464285091577,False,0.0009182736455463728,0.0003549875754348598,0,1
1.59061500000007,364.0,2458.0,0.14802765351769012,7.0,6.0,133349,235222,146550,0,0,30,3.6892464285091577,False,0.0009182736455463728,0.0003549875754348598,0,1
1.097211999999672,354.0,2578.0,0.13726250484683986,7.0,6.0,133349,235222,146550,0,0,20,3.1709505944546685,False,0.025,0.0003549875754348598,0,1
1.067515999999159,358.0,2575.0,0.1389751552795031,7.0,6.0,133349,235222,146550,0,0,24,3.772055208874201,False,0.022222222222222223,0.0003549875754348598,0,1
0.823873999999705,208.0,2141.0,0.09710550887021475,6.0,5.0,133349,235222,146550,0,0,24,3.6572682296173897,False,0.027777777777777776,0.0003549875754348598,0,1
1.5027469999995442,346.0,2178.0,0.15878843506195503,8.0,6.0,133349,235222,146550,0,0,12,2.918295834054489,False,0.003355704697986577,0.0003549875754348598,0,1
1.7164480000001272,364.0,2458.0,0.14802765351769012,8.0,6.0,133349,235222,146550,0,0,30,3.6892464285091577,False,0.0009182736455463728,0.0003549875754348598,0,1
1.83752800000002,364.0,2200.0,0.16537937301226716,7.0,5.0,133349,235222,146550,0,0,30,3.6892464285091577,False,0.0009182736455463728,0.0003549875754348598,0,1
1.303741000000627,364.0,2200.0,0.16537937301226716,7.0,5.0,133349,235222,146550,0,0,30,3.6892464285091577,False,0.0009182736455463728,0.0003549875754348598,0,1
1.643309000000044,357.0,2145.0,0.16635601118359739,7.0,6.0,133349,235222,146550,0,0,23,3.969001629875993,False,0.1,0.0003549875754348598,0,1
3.900732999999491,346.0,2178.0,0.15878843506195503,8.0,5.0,133349,235222,146550,0,0,12,2.918295834054489,False,0.003355704697986577,0.0003549875754348598,0,1
1.696481999999377,364.0,2200.0,0.16537937301226716,8.0,5.0,133349,235222,146550,0,0,30,3.6892464285091577,False,0.0009182736455463728,0.0003549875754348598,0,1
0.7673410000006691,208.0,2317.0,0.08973252804141502,6.0,5.0,133349,235222,146550,0,0,24,3.4072682296173893,False,0.022727272727272728,0.0003549875754348598,0,1
1.617949999999837,214.0,2200.0,0.09722853248523398,6.0,5.0,133349,235222,146550,0,0,30,3.6892464285091577,False,0.0009182736455463728,0.0003549875754348598,0,1
1.667951999999786,364.0,2200.0,0.16537937301226716,7.0,5.0,133349,235222,146550,0,0,30,3.6892464285091577,False,0.0009182736455463728,0.0003549875754348598,0,1
1.625430000000051,364.0,2200.0,0.16537937301226716,8.0,6.0,133349,235222,146550,0,0,30,3.6892464285091577,False,0.0009182736455463728,0.0003549875754348598,0,1
3.226094999999986,214.0,2200.0,0.09722853248523398,7.0,5.0,133349,235222,146550,0,0,30,3.6892464285091577,False,0.0009182736455463728,0.0003549875754348598,0,1
1.702053999999407,0.0,3496.0,0.0,0.0,10.0,0,49776,4809,0,0,0,0.0,False,0.0005543237250554324,0.0007552870090634441,0,1
1.250762000000577,0.0,7421.0,0.0,0.0,10.0,0,27187,4809,0,0,0,0.0,False,0.0005543237250554324,0.0007552870090634441,0,1
100.36109600000054,0.0,3754.0,0.0,0.0,15.0,0,146983,4809,0,0,0,0.0,False,0.0005543237250554324,0.0007552870090634441,0,1
1.701121999998577,0.0,3496.0,0.0,0.0,10.0,0,49776,4809,0,0,0,0.0,False,0.0005543237250554324,0.0007552870090634441,0,1
1.220882999999958,0.0,7421.0,0.0,0.0,10.0,0,27187,4809,0,0,0,0.0,False,0.0005543237250554324,0.0007552870090634441,0,1
100.38637600000038,0.0,3754.0,0.0,0.0,14.0,0,146983,4809,0,0,0,0.0,False,0.0005543237250554324,0.0007552870090634441,0,1
1.71193200000016,0.0,3496.0,0.0,0.0,11.0,0,49776,4809,0,0,0,0.0,False,0.0005543237250554324,0.0007552870090634441,0,1
1.251609000000826,0.0,7421.0,0.0,0.0,10.0,0,27187,4809,0,0,0,0.0,False,0.0005543237250554324,0.0007552870090634441,0,1
100.41906700000072,0.0,3754.0,0.0,0.0,13.0,0,146983,4809,0,0,0,0.0,False,0.0005543237250554324,0.0007552870090634441,0,1
1.731538,0.0,3496.0,0.0,0.0,10.0,0,49776,4809,0,0,0,0.0,False,0.0005543237250554324,0.0007552870090634441,0,1
1.221449000000575,0.0,7421.0,0.0,0.0,10.0,0,27187,4809,0,0,0,0.0,False,0.0005543237250554324,0.0007552870090634441,0,1
100.45728099999906,0.0,3754.0,0.0,0.0,16.0,0,146983,4809,0,0,0,0.0,False,0.0005543237250554324,0.0007552870090634441,0,1
1.7019619999991842,0.0,3496.0,0.0,0.0,10.0,0,49776,4809,0,0,0,0.0,False,0.0005543237250554324,0.0007552870090634441,0,1
1.220516000001225,0.0,7421.0,0.0,0.0,10.0,0,27187,4809,0,0,0,0.0,False,0.0005543237250554324,0.0007552870090634441,0,1
100.40129499999966,0.0,3754.0,0.0,0.0,14.0,0,146983,4809,0,0,0,0.0,False,0.0005543237250554324,0.0007552870090634441,0,1
1.721529000002192,0.0,3496.0,0.0,0.0,12.0,0,49776,4809,0,0,0,0.0,False,0.0005543237250554324,0.0007552870090634441,0,1
1.221039000000018,0.0,7421.0,0.0,0.0,10.0,0,27187,4809,0,0,0,0.0,False,0.0005543237250554324,0.0007552870090634441,0,1
100.37439599999924,0.0,3754.0,0.0,0.0,13.0,0,146983,4809,0,0,0,0.0,False,0.0005543237250554324,0.0007552870090634441,0,1
1.702628999999433,0.0,3496.0,0.0,0.0,10.0,0,49776,4809,0,0,0,0.0,False,0.0005543237250554324,0.0007552870090634441,0,1
1.261521000000357,0.0,7421.0,0.0,0.0,10.0,0,27187,4809,0,0,0,0.0,False,0.0005543237250554324,0.0007552870090634441,0,1
100.41917399999876,0.0,3754.0,0.0,0.0,13.0,0,146983,4809,0,0,0,0.0,False,0.0005543237250554324,0.0007552870090634441,0,1
1.701333999997587,0.0,3496.0,0.0,0.0,10.0,0,49776,4809,0,0,0,0.0,False,0.0005543237250554324,0.0007552870090634441,0,1
1.251238000000739,0.0,7421.0,0.0,0.0,10.0,0,27187,4809,0,0,0,0.0,False,0.0005543237250554324,0.0007552870090634441,0,1
100.4443059999976,0.0,3754.0,0.0,0.0,13.0,0,146983,4809,0,0,0,0.0,False,0.0005543237250554324,0.0007552870090634441,0,1
1.73155300000144,0.0,3496.0,0.0,0.0,10.0,0,49776,4809,0,0,0,0.0,False,0.0005543237250554324,0.0007552870090634441,0,1
1.241391999999905,0.0,7405.0,0.0,0.0,10.0,0,27187,4809,0,0,0,0.0,False,0.0005543237250554324,0.0007552870090634441,0,1
100.43675599999916,0.0,3754.0,0.0,0.0,13.0,0,146983,4809,0,0,0,0.0,False,0.0005543237250554324,0.0007552870090634441,0,1
1.705014999999548,0.0,3496.0,0.0,0.0,10.0,0,49776,4809,0,0,0,0.0,False,0.0005543237250554324,0.0007552870090634441,0,1
1.247706999998627,0.0,7421.0,0.0,0.0,10.0,0,27187,4809,0,0,0,0.0,False,0.0005543237250554324,0.0007552870090634441,0,1
100.40733799999724,0.0,3754.0,0.0,0.0,13.0,0,146983,4809,0,0,0,0.0,False,0.0005543237250554324,0.0007552870090634441,0,1
1.701648999995086,0.0,3496.0,0.0,0.0,10.0,0,49776,4809,0,0,0,0.0,False,0.0005543237250554324,0.0007552870090634441,0,1
1.22140699999727,0.0,7421.0,0.0,0.0,10.0,0,27187,4809,0,0,0,0.0,False,0.0005543237250554324,0.0007552870090634441,0,1
100.4190180000005,0.0,3754.0,0.0,0.0,14.0,0,146983,4809,0,0,0,0.0,False,0.0005543237250554324,0.0007552870090634441,0,1
1.713471000002755,0.0,3496.0,0.0,0.0,11.0,0,49776,4809,0,0,0,0.0,False,0.0005543237250554324,0.0007552870090634441,0,1
1.2202889999971371,0.0,7421.0,0.0,0.0,10.0,0,27187,4809,0,0,0,0.0,False,0.0005543237250554324,0.0007552870090634441,0,1
100.4713419999971,0.0,3754.0,0.0,0.0,14.0,0,146983,4809,0,0,0,0.0,False,0.0005543237250554324,0.0007552870090634441,0,1
1.733033999997133,0.0,3496.0,0.0,0.0,10.0,0,49776,4809,0,0,0,0.0,False,0.0005543237250554324,0.0007552870090634441,0,1
1.221804000000702,0.0,7421.0,0.0,0.0,10.0,0,27187,4809,0,0,0,0.0,False,0.0005543237250554324,0.0007552870090634441,0,1
100.4033630000049,0.0,3754.0,0.0,0.0,13.0,0,146983,4809,0,0,0,0.0,False,0.0005543237250554324,0.0007552870090634441,0,1
1.730928999997559,0.0,3496.0,0.0,0.0,10.0,0,49776,4809,0,0,0,0.0,False,0.0005543237250554324,0.0007552870090634441,0,1
1.251782999999704,0.0,7421.0,0.0,0.0,10.0,0,27187,4809,0,0,0,0.0,False,0.0005543237250554324,0.0007552870090634441,0,1
100.41268700000364,0.0,3754.0,0.0,0.0,13.0,0,146983,4809,0,0,0,0.0,False,0.0005543237250554324,0.0007552870090634441,0,1
1.730056000000331,0.0,3496.0,0.0,0.0,10.0,0,49776,4809,0,0,0,0.0,False,0.0005543237250554324,0.0007552870090634441,0,1
1.221285999999963,0.0,7421.0,0.0,0.0,10.0,0,27187,4809,0,0,0,0.0,False,0.0005543237250554324,0.0007552870090634441,0,1
100.38604099999792,0.0,3754.0,0.0,0.0,15.0,0,146983,4809,0,0,0,0.0,False,0.0005543237250554324,0.0007552870090634441,0,1
1.73132600000099,0.0,3496.0,0.0,0.0,10.0,0,49776,4809,0,0,0,0.0,False,0.0005543237250554324,0.0007552870090634441,0,1
1.221901000004436,0.0,7421.0,0.0,0.0,10.0,0,27187,4809,0,0,0,0.0,False,0.0005543237250554324,0.0007552870090634441,0,1
100.46679800000128,0.0,3754.0,0.0,0.0,13.0,0,146983,4809,0,0,0,0.0,False,0.0005543237250554324,0.0007552870090634441,0,1
1.731452999993052,0.0,3496.0,0.0,0.0,10.0,0,49776,4809,0,0,0,0.0,False,0.0005543237250554324,0.0007552870090634441,0,1
